name,play_for_free,top_seller,deal,history,discount,price,rating,ends in,started,release,lowest_price
Dead Rising 2: Off the Record,no,no,,not the lowest price,0.7,11.99,0.7651,,,2011-10-01,9.99
苍白花树繁茂之时Blood Flowers,no,no,,not the lowest price,0.2,20.47,0.765,,,2023-04-01,19.96
Room of Depression,no,no,,new historical low,0.15,11.72,0.7648999999999999,,,2023-05-01,11.72
SONG OF HORROR COMPLETE EDITION,no,no,,not the lowest price,0.36,107.01,0.7648,,,2019-10-01,30.59
Type:Rider,no,no,,,0.9,1.04,0.7645000000000001,,,2013-11-01,
Carnival and Girls,no,no,,,0.81,0.85,0.7645000000000001,,,2021-03-01,
Sakura Spirit,no,no,Week Long Deal,not the lowest price,0.75,4.99,0.7645000000000001,,,2014-07-01,3.99
Winter tramp,no,no,,not the lowest price,0.75,11.87,0.7645000000000001,,,2022-05-01,9.49
Maid of Sker,no,no,,,0.71,13.77,0.7645000000000001,,,2020-07-01,
Rendezvous,no,no,,,0.3,29.39,0.7645000000000001,,,2023-04-01,
Alive,no,no,Week Long Deal,not the lowest price,0.1,34.64,0.7645000000000001,,,2023-04-01,32.71
SRPG Studio,no,no,,not the lowest price,0.75,27.49,0.7644,,,2018-08-01,21.99
House Builder,no,no,,not the lowest price,0.47,28.32,0.7643000000000001,,,2021-11-01,21.74
Geometric Sniper,no,no,,not the lowest price,0.4,4.19,0.7643000000000001,,,2020-12-01,2.69
Escape Game,no,no,,,0.71,0.66,0.7642,,,2018-11-01,
hOrnyWars,no,no,Week Long Deal,,0.5,2.24,0.764,,,2022-01-01,
Speed Brawl,no,no,Week Long Deal,not the lowest price,0.3,26.59,0.7639,,,2018-09-01,9.49
Barrow Hill: Curse of the Ancient Circle,no,no,Week Long Deal,not the lowest price,0.8,5.29,0.7637,,,2006-10-01,2.87
Farm Manager 2021,no,no,,not the lowest price,0.63,22.19,0.7637,,,2021-05-01,20.13
Livestream: Escape from Hotel Izanami,no,no,Introductory Offer,new historical low,0.6,15.19,0.7637,,,2021-06-01,15.19
SOWON,no,no,Week Long Deal,not the lowest price,0.6,13.19,0.7637,,,2022-10-01,9.89
Deadly Dozen: Pacific Theater,no,no,,,0.4,12.41,0.7637,,,2002-11-01,
DE-EXIT - Eternal Matters,no,no,,,0.33,36.84,0.7637,,,2023-04-01,
Atlantis: Pearls of the Deep,no,no,Week Long Deal,not the lowest price,0.35,9.09,0.7636,,,2012-11-01,2.09
Storm Tale 2,no,no,Week Long Deal,,0.8,4.13,0.7635,,,2021-04-01,
Hentai Jigsaw Puzzle,no,no,,not the lowest price,0.5,3.49,0.7635,,,2019-02-01,2.24
The Adventures of MICOCO,no,no,,,0.2,18.8,0.7635,,,2022-11-01,
3D PUZZLE - Medieval Inn,no,no,,new historical low,0.99,10.8,0.7634000000000001,,,2023-06-01,10.8
3D PUZZLE - Desert Wind,no,no,,not the lowest price,0.97,66.96,0.7634000000000001,,,2023-07-01,16.74
Hidden Village Top-Down 3D,no,no,,not the lowest price,0.97,66.96,0.7634000000000001,,,2023-07-01,16.74
Auto Mechanic Sim,no,no,,,0.9,0.61,0.7634000000000001,,,2023-04-01,
Secrets of Magic 3: Happy Halloween,no,no,Week Long Deal,,0.8,4.13,0.7634000000000001,,,2020-10-01,
Lone elven wanderer,no,no,,not the lowest price,0.75,14.99,0.7634000000000001,,,2022-05-01,4.55
A-Star Theft,no,no,,,0.7,6.2,0.7634000000000001,,,2020-08-01,
Pyramid Quest,no,no,Week Long Deal,,0.7,6.2,0.7634000000000001,,,2022-01-01,
Pegafuerte el terrible,no,no,,new historical low,0.7,1.04,0.7634000000000001,,,2023-05-01,1.04
Tear of Time: Lost memory,no,no,,,0.4,11.4,0.7634000000000001,,,2022-03-01,
猫不语,no,no,Week Long Deal,not the lowest price,0.3,17.14,0.7634000000000001,,,2021-11-01,12.24
Marabundle,no,no,Week Long Deal,new historical low,0.3,9.09,0.7634000000000001,,,2023-06-01,9.09
Thirty Days,no,no,Introductory Offer,new historical low,0.23,32.33,0.7634000000000001,,,2023-07-01,32.33
Criminal Archives: City on Fire Collector's Edition,no,no,,not the lowest price,0.2,18.8,0.7634000000000001,,,2021-12-01,4.13
I commissioned some bees 7,no,no,Week Long Deal,,0.15,3.81,0.7634000000000001,,,2022-09-01,
Ikkarus and the Prince of Sin,no,no,Introductory Offer,new historical low,0.1,29.69,0.7634000000000001,,,2023-07-01,29.69
Heart&Slash,no,no,,not the lowest price,0.8,5.79,0.7631999999999999,,,2016-08-01,4.19
Sakura Gamer 2,no,no,Week Long Deal,not the lowest price,0.75,5.17,0.7629,,,2019-12-01,4.13
The Shadows of Pygmalion,no,no,,not the lowest price,0.75,15.99,0.7628,,,2017-02-01,12.79
Avernum 4,no,no,Week Long Deal,not the lowest price,0.7,5.09,0.7628,,,2012-05-01,1.04
Please Subscribe,no,no,Week Long Deal,not the lowest price,0.3,14.48,0.7626000000000001,,,2022-02-01,2.06
Chambara,no,no,,,0.8,2.89,0.7625,,,2017-12-01,
Moki,no,no,Week Long Deal,,0.71,0.66,0.7625,,,2020-11-01,
Animal Up!,no,no,Week Long Deal,not the lowest price,0.5,5.24,0.7625,,,2019-08-01,2.2
King Bullseye: The Chess Strike,no,no,,not the lowest price,0.4,4.19,0.7625,,,2021-05-01,0.85
Energy Island Corp.,no,no,Week Long Deal,,0.33,8.3,0.7625,,,2022-01-01,
Wave of Time,no,no,,not the lowest price,0.2,9.91,0.7625,,,2020-09-01,7.29
Sexy Breakout,no,no,Introductory Offer,,0.8,1.29,0.7624,,,2019-05-01,
Dog Adventure,no,no,,,0.5,1.14,0.7624,,,2022-01-01,
Tom Clancy's Rainbow Six® Vegas,no,no,,not the lowest price,0.75,7.49,0.7623000000000001,,,2006-12-01,4.99
Sakura Beach,no,no,Week Long Deal,not the lowest price,0.75,4.99,0.7623000000000001,,,2015-08-01,3.99
Four Sided Fantasy,no,no,,,0.9,1.99,0.7622,,,2016-08-01,
Treasure of a Blizzard,no,no,,not the lowest price,0.52,45.1,0.7622,,,2016-10-01,4.69
Daydream: Forgotten Sorrow,no,no,Week Long Deal,new historical low,0.25,44.99,0.7622,,,2023-06-01,44.99
Cyberpunk SFX,no,no,,not the lowest price,0.9,3.84,0.7619,,,2020-11-01,2.48
Dead Rising® 2,no,no,,,0.7,10.49,0.7619,,,2010-09-01,
Infernal Radiation,no,no,,not the lowest price,0.8,4.13,0.7618,,,2020-12-01,2.06
Anime Artist 3: Harem,no,no,Week Long Deal,not the lowest price,0.5,3.49,0.7618,,,2020-11-01,2.24
Legends of Atlantis: Exodus,no,no,Week Long Deal,not the lowest price,0.35,9.09,0.7618,,,2012-04-01,2.09
My Stunt Life,no,no,,,0.71,0.66,0.7617,,,2019-05-01,
Cally's Caves 3,no,no,Week Long Deal,not the lowest price,0.8,2.79,0.7615999999999999,,,2016-01-01,2.09
Before We Leave,no,no,,,0.75,14.99,0.7614,,,2021-05-01,
Cheap Golf,no,no,Week Long Deal,not the lowest price,0.66,5.77,0.7614,,,2018-11-01,2.17
RoboPhobik,no,no,Week Long Deal,not the lowest price,0.75,5.17,0.7613,,,2020-09-01,3.1
Zeus Begins,no,no,Week Long Deal,not the lowest price,0.6,4.95,0.7613,,,2019-08-01,3.09
Pretty Girls Tile Match,no,no,,not the lowest price,0.25,8.16,0.7613,,,2022-09-01,5.44
SPACE STORESHIP -スペースストアシップ-,no,no,,not the lowest price,0.2,11.59,0.7613,,,2021-07-01,9.41
栖云异梦,no,no,,not the lowest price,0.2,23.99,0.7613,,,2023-04-01,20.99
Drakkon World Builder,no,no,Week Long Deal,,0.2,5.19,0.7613,,,2022-09-01,
Tyfortress: Tactical Typing,no,no,,not the lowest price,0.5,6.89,0.7612000000000001,,,2021-08-01,1.35
Match Village,no,no,Week Long Deal,not the lowest price,0.3,9.65,0.7612000000000001,,,2022-10-01,7.12
Samurai Survivors,no,no,Week Long Deal,,0.2,13.59,0.7612000000000001,,,2023-04-01,
The Land of Eyas,no,no,,,0.9,1.99,0.7611,,,2016-07-01,
NeverSynth,no,no,,not the lowest price,0.93,10.7,0.7605,,,2022-09-01,3.99
Death Park,no,no,Week Long Deal,not the lowest price,0.25,9.29,0.7605,,,2019-11-01,8.67
LEAVES - The Journey,no,no,,,0.9,1.09,0.76,,,2017-03-01,
I Can See the Future,no,no,Week Long Deal,not the lowest price,0.9,2.78,0.76,,,2017-10-01,1.14
Inquisitor’s Heart and Soul,no,no,,not the lowest price,0.9,3.99,0.76,,,2021-10-01,2.48
Warriors: Rise to Glory,no,no,Week Long Deal,not the lowest price,0.4,22.79,0.76,,,2022-01-01,11.99
Raiders! Forsaken Earth,no,no,,not the lowest price,0.41,34.53,0.7598999999999999,,,2020-11-01,7.59
Daily Wife,no,no,,not the lowest price,0.7,3.26,0.7595999999999999,,,2020-08-01,1.63
GreedFall,no,no,,,0.72,33.32,0.7594,,,2019-09-01,
Deep Space Battle Simulator,no,no,,not the lowest price,0.5,14.99,0.7593000000000001,,,2021-11-01,11.59
HOT WHEELS UNLEASHED™,no,no,Week Long Deal,,0.8,21.99,0.7592,,,2021-09-01,
Magical Drop VI,no,no,Week Long Deal,,0.2,71.19,0.7592,,,2023-04-01,
Crookz - The Big Heist,no,no,,not the lowest price,0.6,15.6,0.7591,,,2015-08-01,3.8
Furry Sex,no,no,Week Long Deal,,0.71,0.66,0.759,,,2022-03-01,
STAR WARS™ Battlefront,no,no,,not the lowest price,0.65,20.65,0.7589,,,2015-11-01,11.8
Far Cry® 2,no,no,,not the lowest price,0.7,8.99,0.7587999999999999,in 2 days,5 days ago,2008-10-01,4.99
Siege Survival: Gloria Victis,no,no,,,0.8,9.49,0.7587,in 7 days,6 hours ago,2021-05-01,
Horses and Girls,no,no,,,0.81,0.85,0.7585999999999999,in 14 days,6 hours ago,2021-11-01,
Ignatius,no,no,,not the lowest price,0.5,8.29,0.7585999999999999,in 6 days,8 days ago,2020-11-01,1.19
Stack Up! (or dive trying),no,no,Week Long Deal,not the lowest price,0.4,8.69,0.7585999999999999,in 2 days,5 days ago,2021-07-01,7.24
Only Down,no,no,Introductory Offer,new historical low,0.33,11.38,0.7585999999999999,in 4 days,3 days ago,2023-07-01,11.38
NaGongGan Infinite,no,no,Week Long Deal,not the lowest price,0.3,16.45,0.7585999999999999,in 2 days,5 days ago,2022-08-01,5.84
Dandara: Trials of Fear Edition,no,no,Week Long Deal,,0.8,5.99,0.7585,in 2 days,5 days ago,2018-02-01,
Kamiwaza: Way of the Thief,no,no,,,0.2,95.99,0.7582,in 2 days,5 days ago,2022-10-01,
Trash Squad,no,no,Week Long Deal,,0.9,1.08,0.7578,in 2 days,5 days ago,2018-01-01,
The Longest Road on Earth,no,no,Week Long Deal,,0.65,7.24,0.7578,in 2 days,5 days ago,2021-05-01,
HORROR TALES: The Wine,no,no,Week Long Deal,not the lowest price,0.65,11.54,0.7576,in 2 days,5 days ago,2021-07-01,6.59
Ecosystem,no,no,,new historical low,0.2,30.39,0.7574,in 5 days,9 days ago,2021-03-01,30.39
Weird West: Definitive Edition,no,no,,,0.75,24.99,0.7572,in 2 days,5 days ago,2022-03-01,
[TDA01] Muv-Luv Unlimited: THE DAY AFTER - Episode 01 REMASTERED,no,no,,not the lowest price,0.5,42.99,0.7572,in 10 days,4 days ago,2021-01-01,23.74
Space Route,no,no,,,0.9,4.74,0.7570999999999999,in 18 hours,13 days ago,2022-08-01,
Crazy Clown,no,no,,,0.9,3.29,0.7570999999999999,in 18 hours,13 days ago,2023-03-01,
Molecular Warfare,no,no,,,0.9,3.29,0.7570999999999999,,,2023-04-01,
Vacuum cleaner robot simulator: pile sos edition,no,no,,not the lowest price,0.9,3.29,0.7570999999999999,,,2023-05-01,2.96
Prince of Qin,no,no,,not the lowest price,0.8,4.13,0.7570999999999999,,,2021-10-01,3.1
Unreal Vendetta,no,no,,,0.8,5.37,0.7570999999999999,,,2022-09-01,
Flaming Thunderer,no,no,,,0.8,14.79,0.7570999999999999,,,2023-01-01,
Rope Cow - Rope it to The Cow,no,no,Week Long Deal,not the lowest price,0.6,5.51,0.7570999999999999,,,2021-02-01,3.24
Clutter 1000,no,no,,not the lowest price,0.6,8.27,0.7570999999999999,,,2021-06-01,5.17
Jonas Willy Online,no,no,Week Long Deal,new historical low,0.5,3.24,0.7570999999999999,,,2020-07-01,3.24
She turned me into a newt!,no,no,,not the lowest price,0.5,2.24,0.7570999999999999,,,2021-01-01,1.12
Maze: Pedestal of Trials,no,no,Week Long Deal,not the lowest price,0.5,3.24,0.7570999999999999,,,2022-06-01,1.62
Hentai Pool,no,no,Week Long Deal,,0.4,2.09,0.7570999999999999,,,2023-03-01,
Stellar Empires,no,no,,new historical low,0.33,11.38,0.7570999999999999,,,2023-04-01,11.38
Paper Flight - Beyond Time,no,no,Week Long Deal,,0.3,23.09,0.7570999999999999,,,2023-03-01,
Mini Star Bakery,no,no,Week Long Deal,,0.2,26.39,0.7570999999999999,,,2023-01-01,
Sugar Sweet Temptation,no,no,Introductory Offer,new historical low,0.15,62.89,0.7570999999999999,,,2023-07-01,62.89
魔界堕ちのラズリエル -Lazriel: The Demon's Fall-,no,no,Introductory Offer,new historical low,0.1,42.29,0.7570999999999999,,,2023-07-01,42.29
Strip'Em III,no,no,Introductory Offer,new historical low,0.1,67.95,0.7570999999999999,,,2023-07-01,67.95
LiBER,no,no,Week Long Deal,not the lowest price,0.5,10.34,0.757,,,2022-01-01,9.31
Budget Cuts 2: Mission Insolvency,no,no,,,0.75,14.49,0.7568,,,2019-12-01,
Synthwave Burnout,no,no,,not the lowest price,0.9,3.99,0.7565999999999999,,,2021-09-01,2.06
Morrow,no,no,,,0.9,1.08,0.7564,,,2022-10-01,
MOAI 7: Mystery Coast,no,no,Week Long Deal,not the lowest price,0.85,4.49,0.7564,,,2020-11-01,2.78
Alien Attack: Pocket Edition,no,no,Week Long Deal,,0.75,1.12,0.7564,,,2018-08-01,
1-Bit Revival: The Residuals of Null,no,no,,,0.75,2.17,0.7564,,,2019-03-01,
Life is Pain,no,no,,,0.72,0.97,0.7564,,,2023-03-01,
Critical Damage,no,no,,not the lowest price,0.7,3.71,0.7564,,,2012-11-01,3.09
Furry Toys,no,no,,new historical low,0.6,4.19,0.7564,,,2023-06-01,4.19
Them and Us,no,no,,not the lowest price,0.5,26.99,0.7564,,,2021-09-01,18.99
Shinobi's Way - a jigsaw chess tale,no,no,Week Long Deal,,0.5,2.24,0.7564,,,2021-05-01,
They Came From the Sky 2,no,no,Week Long Deal,not the lowest price,0.35,23.26,0.7564,,,2023-01-01,21.47
Goblin and Coins II,no,no,Week Long Deal,,0.2,13.59,0.7564,,,2023-04-01,
Sweet and Hot,no,no,,,0.81,0.85,0.7563,,,2020-08-01,
Work And Girls,no,no,,,0.81,0.85,0.7562000000000001,,,2020-05-01,
Conarium,no,no,Week Long Deal,not the lowest price,0.8,11.99,0.7562000000000001,,,2017-06-01,7.39
Master Spy,no,no,,,0.9,1.99,0.7561,,,2015-09-01,
Underworld Island,no,no,Week Long Deal,not the lowest price,0.2,18.23,0.7561,,,2023-01-01,17.09
Battlevoid: Harbinger,no,no,,not the lowest price,0.8,3.99,0.7559,,,2016-02-01,1.99
Hentai Neighbors,no,no,Week Long Deal,not the lowest price,0.55,1.03,0.7558,,,2018-10-01,0.96
Furry Nya,no,no,,,0.81,0.85,0.7555,,,2020-06-01,
"Sir, You Are Being Hunted",no,no,,not the lowest price,0.4,22.19,0.7554000000000001,,,2013-08-01,3.69
Aerial_Knight's Never Yield,no,no,,,0.7,7.46,0.7553,,,2021-05-01,
Achievement Clicker 2019,no,no,Week Long Deal,,0.55,1.03,0.7553,,,2018-04-01,
Samurai Cat,no,no,Week Long Deal,not the lowest price,0.5,1.74,0.7553,,,2021-01-01,1.14
QUESTER,no,no,Week Long Deal,new historical low,0.3,41.99,0.7548,,,2023-05-01,41.99
Dark Fantasy 2: Jigsaw Puzzle,no,no,,not the lowest price,0.63,5.23,0.7545999999999999,,,2019-05-01,2.24
Ancestors: The Humankind Odyssey,no,no,,,0.75,37.47,0.7545000000000001,,,2020-08-01,
Midnight Ghost Hunt,no,no,,,0.66,12.91,0.7545000000000001,,,2022-03-01,
Super Indie Square,no,no,,not the lowest price,0.87,1.9,0.7544,,,2019-10-01,1.12
Gamer Career Tycoon,no,no,Week Long Deal,not the lowest price,0.5,7.24,0.7544,,,2018-03-01,1.44
Anatidae: To The Nest Level,no,no,Week Long Deal,,0.5,1.14,0.7544,,,2021-05-01,
Ramify,no,no,Week Long Deal,,0.87,0.81,0.7541,,,2017-04-01,
Not The Robots,no,no,,not the lowest price,0.8,6.59,0.7541,,,2013-12-01,1.69
Sakura Forest Girls 3,no,no,Week Long Deal,not the lowest price,0.75,5.17,0.7541,,,2021-11-01,4.13
Dawn of the Mexica,no,no,Week Long Deal,not the lowest price,0.4,14.93,0.7541,,,2020-11-01,12.44
Perfectly Balanced,no,no,,,0.3,1.6,0.7541,,,2021-10-01,
A House of Thieves,no,no,,not the lowest price,0.75,6.24,0.754,,,2021-01-01,4.99
Tiny Tina's Wonderlands,no,no,,,0.67,98.96,0.7537999999999999,,,2022-06-01,
Capitalism Plus,no,no,,,0.5,5.99,0.7537999999999999,,,1995-10-01,
Metro Sim Hustle,no,no,,,0.75,7.24,0.7537,,,2021-07-01,
末日竟在我身边 - Zombies Everywhere,no,no,,,0.72,0.97,0.7537,,,2021-01-01,
X-Fitness,no,no,,not the lowest price,0.38,37.58,0.7536,,,2020-12-01,9.49
BAD DREAMS,no,no,Introductory Offer,not the lowest price,0.25,28.86,0.7536,,,2023-07-01,19.24
Farm Frenzy 4,no,no,Week Long Deal,not the lowest price,0.65,8.22,0.7535,,,2013-08-01,1.25
Far Cry® New Dawn,no,no,,,0.8,23.99,0.7534000000000001,,,2019-02-01,
RDS - The Official Drift Videogame,no,no,,,0.5,17.49,0.7534000000000001,,,2019-06-01,
Euphoria: Supreme Mechanics,no,no,,not the lowest price,0.9,4.69,0.7533,,,2020-04-01,2.48
OverDrift Festival,no,no,,,0.37,36.53,0.7531,,,2022-12-01,
"One Try, One Kill",no,no,,,0.81,0.85,0.7529,,,2020-04-01,
Corpse Keeper,no,no,,new historical low,0.25,44.99,0.7526,,,2023-02-01,44.99
Persian Nights 2: The Moonlight Veil,no,no,,not the lowest price,0.75,11.74,0.7523000000000001,,,2020-06-01,8.69
Cartel Tycoon,no,no,,not the lowest price,0.35,83.06,0.7518,,,2022-07-01,33.24
GIGA WRECKER,no,no,,,0.9,3.69,0.7515000000000001,,,2017-02-01,
Safety First!,no,no,,,0.8,1.25,0.7515000000000001,,,2016-09-01,
Broken Lines,no,no,,,0.8,9.99,0.7515000000000001,,,2020-02-01,
Warrior Paint - 2005 GOTY Edition,no,no,,,0.8,1.39,0.7514,,,2022-12-01,
ECHO,no,no,,not the lowest price,0.5,22.99,0.7514,,,2017-09-01,13.8
Bullet Time Battle,no,no,Week Long Deal,,0.8,1.39,0.7509999999999999,,,2023-05-01,
Jewel Match Atlantis Solitaire 3 - Collector's Edition,no,no,,,0.65,9.41,0.7509999999999999,,,2021-12-01,
Jeanne at the Clock Tower,no,no,,,0.6,30.19,0.7509999999999999,,,2021-06-01,
Bloody Paws Unleashed,no,no,,not the lowest price,0.25,15.51,0.7509999999999999,,,2022-10-01,9.8
River Attack,no,no,,not the lowest price,0.15,1.94,0.7509999999999999,,,2020-10-01,1.6
Nyasha,no,no,,,0.81,0.85,0.7509,,,2019-03-01,
Seed of the Dead,no,no,,not the lowest price,0.6,18.79,0.7509,,,2018-12-01,8.69
Saints Row 2,no,no,,not the lowest price,0.75,4.99,0.7508,,,2009-01-01,3.99
Homesick,no,no,Week Long Deal,not the lowest price,0.66,9.51,0.7508,,,2015-05-01,6.99
猎魔者战纪,no,no,,,0.86,0.9,0.7506999999999999,,,2019-05-01,
Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),no,no,,,0.81,0.85,0.7506,,,2018-12-01,
The Matriarch,no,no,,not the lowest price,0.3,7.62,0.7506,,,2022-09-01,6.53
Psychocat: The Answer,no,no,,not the lowest price,0.3,1.53,0.7505,,,2016-01-01,1.09
Panmorphia,no,no,Week Long Deal,not the lowest price,0.75,3.44,0.7503,,,2020-11-01,2.17
For Sparta,no,no,,new historical low,0.75,1.12,0.7503,,,2021-03-01,1.12
末日临晓/The Dawn,no,no,Week Long Deal,not the lowest price,0.4,9.6,0.7503,,,2020-03-01,6.53
Hentai Neko,no,no,Week Long Deal,,0.4,1.37,0.7503,,,2022-11-01,
Vandals,no,no,,,0.9,1.08,0.7502,,,2018-04-01,
Super Maze Labyrinth,no,no,Week Long Deal,not the lowest price,0.8,1.39,0.75,,,2021-04-01,1.12
Alien Space Bastards,no,no,,not the lowest price,0.8,2.89,0.75,,,2022-02-01,1.44
Puzzle: Triangles,no,no,,,0.8,5.37,0.75,,,2022-10-01,
Clutter 12: It's About Time - Collector's Edition,no,no,,,0.55,12.1,0.75,,,2022-04-01,
Burning Vengeance,no,no,Week Long Deal,not the lowest price,0.5,19.24,0.75,,,2023-04-01,9.62
Jewel Match Twilight,no,no,,new historical low,0.45,7.96,0.75,,,2022-10-01,7.96
The Count of Monte Carlo,no,no,Week Long Deal,not the lowest price,0.33,11.38,0.75,,,2020-10-01,7.29
Switch,no,no,Week Long Deal,not the lowest price,0.3,52.84,0.75,,,2017-06-01,40.14
PRIPRI,no,no,Introductory Offer,new historical low,0.3,7.34,0.75,,,2023-07-01,7.34
FORTRESS DEFENDER,no,no,Week Long Deal,not the lowest price,0.2,23.19,0.75,,,2021-09-01,14.48
Flowers of Satsunai,no,no,Week Long Deal,,0.2,26.39,0.75,,,2022-11-01,
Tuttle: Star Flower Harvest,no,no,Week Long Deal,new historical low,0.15,17.41,0.75,,,2023-06-01,17.41
Tits and Shadows,no,no,Week Long Deal,new historical low,0.1,9.44,0.75,,,2023-06-01,9.44
Super Pig,no,no,,,0.71,0.66,0.7498999999999999,,,2019-07-01,
The Duck Is In Danger,no,no,,,0.5,1.14,0.7498999999999999,,,2022-01-01,
Story Of Infinity: Xia,no,no,,new historical low,0.1,18.44,0.7498999999999999,,,2023-06-01,18.44
Gachi Dungeon Master,no,no,,not the lowest price,0.69,1.39,0.7498,,,2021-03-01,1.12
H Chan,no,no,,not the lowest price,0.25,1.71,0.7495,,,2019-06-01,1.25
Kimono Girls,no,no,,,0.81,0.85,0.7494,,,2019-08-01,
Hentai Thigh,no,no,Week Long Deal,,0.4,1.37,0.7494,,,2020-03-01,
Hex,no,no,Week Long Deal,,0.75,2.17,0.7493000000000001,,,2017-11-01,
Claris the Princess Knight,no,no,,not the lowest price,0.33,20.76,0.7493000000000001,,,2022-05-01,13.01
Furry Feet,no,no,Week Long Deal,not the lowest price,0.2,3.59,0.7492,,,2021-08-01,1.69
Mashed,no,no,,not the lowest price,0.8,2.09,0.7491,,,2004-06-01,1.04
Master Bladesmith,no,no,,,0.2,46.39,0.7489,,,2020-02-01,
Swords Fantasy: Battlefield,no,no,,not the lowest price,0.93,15.06,0.7484999999999999,,,2023-03-01,3.99
Medieval Kingdom Wars,no,no,,not the lowest price,0.6,23.99,0.7484000000000001,,,2019-01-01,8.36
Amnesia: Rebirth,no,no,Week Long Deal,not the lowest price,0.7,26.69,0.7483,,,2020-10-01,11.59
Lamp Head,no,no,,,0.9,0.61,0.7482,,,2017-06-01,
Pain Party,no,no,Week Long Deal,,0.75,4.24,0.7481,,,2022-08-01,
СИМУЛЯТОР ОДИНОЧЕСТВА В РУССКОЙ ДЕРЕВНЕ,no,no,,,0.8,0.89,0.7479,,,2021-04-01,
Food and Girls,no,no,,,0.81,0.85,0.7478,,,2021-05-01,
Sex Gym,no,no,,,0.81,1.32,0.7478,,,2023-04-01,
Last Horizon,no,no,Week Long Deal,not the lowest price,0.66,3.56,0.7476999999999999,,,2015-11-01,1.57
Cynthia: Hidden in the Moonshadow,no,no,,,0.25,33.36,0.7476,,,2023-04-01,
The Forest of Doom (Standalone),no,no,Week Long Deal,not the lowest price,0.5,5.24,0.7473000000000001,,,2014-10-01,3.14
xiuzhen idle,no,no,,not the lowest price,0.2,16.39,0.7472,,,2022-06-01,7.38
Firelight Fantasy: Vengeance,no,no,,not the lowest price,0.93,15.06,0.7471,,,2022-01-01,3.29
Delivery INC,no,no,Introductory Offer,new historical low,0.15,39.94,0.7471,,,2023-07-01,39.94
Nickelodeon Kart Racers 2: Grand Prix,no,no,,,0.75,9.49,0.7468,,,2020-12-01,
FURRY GIRL PUZZLE,no,no,,,0.86,0.89,0.7467,,,2019-06-01,
Mass Effect™: Andromeda Deluxe Edition,no,no,,not the lowest price,0.7,62.7,0.7465999999999999,,,2017-03-01,14.24
Burst Hero,no,no,,not the lowest price,0.2,8.39,0.7465,,,2023-05-01,4.89
The Equinox Hunt,no,no,,,0.8,5.57,0.7463,,,2020-10-01,
Vapormaze,no,no,Week Long Deal,,0.66,9.85,0.7463,,,2021-06-01,
Demolish & Build 2017,no,no,,,0.9,3.69,0.7462000000000001,,,2016-10-01,
Sniper Elite,no,no,,not the lowest price,0.75,3.99,0.7462000000000001,,,2005-10-01,1.99
ROCKETRON,no,no,,not the lowest price,0.5,10.24,0.7462000000000001,,,2020-02-01,4.95
Hi Eggplant!,no,no,Week Long Deal,not the lowest price,0.72,0.97,0.7461,,,2022-09-01,0.84
Sticky Paws,no,no,Week Long Deal,not the lowest price,0.5,4.34,0.7461,,,2019-11-01,2.17
Bird path,no,no,Week Long Deal,not the lowest price,0.3,1.6,0.7461,,,2020-08-01,1.14
Jetboard Joust,no,no,,not the lowest price,0.75,8.24,0.7458,,,2020-10-01,3.29
Potata: fairy flower,no,no,,,0.6,7.43,0.7458,,,2019-12-01,
Eville,no,no,,not the lowest price,0.5,20.5,0.7456999999999999,,,2022-10-01,16.4
Aery - A Journey Beyond Time,no,no,Week Long Deal,,0.5,10.34,0.7456999999999999,,,2021-02-01,
Two Skateboards Driving Simulator,no,no,,not the lowest price,0.9,10.79,0.7453,,,2022-12-01,1.08
Dungeon Death,no,no,,,0.8,4.55,0.7453,,,2021-12-01,
Beautiful Summer,no,no,,new historical low,0.72,0.97,0.7453,,,2023-06-01,0.97
August of August,no,no,Week Long Deal,not the lowest price,0.7,1.04,0.7453,,,2020-08-01,0.97
ESCAPE Room: Reality,no,no,Week Long Deal,not the lowest price,0.5,9.29,0.7453,,,2017-06-01,3.71
BasCatball Jupiter: Basketball & Cat,no,no,Week Long Deal,not the lowest price,0.4,4.19,0.7453,,,2021-01-01,2.59
Boney's Research On Humans!,no,no,Week Long Deal,not the lowest price,0.1,11.15,0.7453,,,2022-08-01,9.29
Good Mourning,no,no,Week Long Deal,not the lowest price,0.7,9.89,0.7451000000000001,,,2021-04-01,1.19
Curse of the Assassin,no,no,Week Long Deal,not the lowest price,0.5,5.24,0.7451000000000001,,,2015-05-01,2.09
Goinund,no,no,Week Long Deal,not the lowest price,0.5,8.49,0.7451000000000001,,,2018-07-01,1.34
Josh Journey: Darkness Totems,no,no,,,0.5,13.94,0.7451000000000001,,,2022-10-01,
映夢 Dream,no,no,,not the lowest price,0.7,6.2,0.7444,,,2020-10-01,4.13
Disjunction,no,no,,,0.66,10.53,0.7443000000000001,,,2021-01-01,
Vampires!,no,no,Week Long Deal,,0.81,0.85,0.7442,,,2017-10-01,
Mr Nibbles Forever,no,no,,,0.69,0.67,0.7437999999999999,,,2016-04-01,
Harem of Monster Girls,no,no,,,0.18,11.88,0.7437,,,2023-05-01,
Castle Cardians,no,no,,not the lowest price,0.4,24.59,0.7433,,,2021-10-01,20.49
The Amazing Shrinking Giraffe,no,no,Week Long Deal,not the lowest price,0.25,10.49,0.7433,,,2020-02-01,4.34
