name,play_for_free,top_seller,deal,history,discount,price,rating,ends in,started,release,lowest_price
Alfredo's Sneaky Meal,no,no,Introductory Offer,new historical low,0.4,1.89,0.6408,,,2023-07-01,1.89
CyberLink PhotoDirector 14 Ultra,no,no,Week Long Deal,new historical low,0.35,324.99,0.6408,,,2022-11-01,324.99
Dumb Roguelike-like RPG,no,no,Week Long Deal,not the lowest price,0.33,2.33,0.6408,,,2020-05-01,1.14
Fateholder Quest,no,no,Week Long Deal,not the lowest price,0.33,3.06,0.6408,,,2020-08-01,1.79
Slime Fantasy: the search for the lost sword,no,no,,not the lowest price,0.3,9.65,0.6408,,,2021-03-01,6.08
Arpsic,no,no,Week Long Deal,not the lowest price,0.3,7.62,0.6408,,,2022-11-01,2.72
EVAN QUEST 2,no,no,Week Long Deal,,0.3,1.6,0.6408,,,2022-03-01,
Lethal Crisis Proto Sphere リーサルクライシスプロトスフィア,no,no,Introductory Offer,new historical low,0.3,20.99,0.6408,,,2023-07-01,20.99
Escape Planet 17,no,no,Week Long Deal,not the lowest price,0.25,7.86,0.6408,,,2021-01-01,6.81
平凡的我與幽靈的同居生活,no,no,Week Long Deal,,0.25,19.86,0.6408,,,2023-02-01,
Endless Spaceship,no,no,Week Long Deal,new historical low,0.25,2.61,0.6408,,,2023-02-01,2.61
SIZIF,no,no,Introductory Offer,new historical low,0.25,12.74,0.6408,,,2023-07-01,12.74
Hentai Senpai: Cyberpussy 2069,no,no,Week Long Deal,,0.2,37.59,0.6408,,,2023-03-01,
Bye Bye Swingby,no,no,Week Long Deal,not the lowest price,0.2,26.39,0.6408,,,2023-04-01,23.09
HYPER METEOR,no,no,Introductory Offer,new historical low,0.15,22.51,0.6408,,,2023-07-01,22.51
Furry Armpits,no,no,Week Long Deal,,0.15,5.94,0.6408,,,2023-02-01,
主动防御(Active Defense),no,no,Introductory Offer,new historical low,0.15,2.96,0.6408,,,2023-07-01,2.96
My Simple Puzzle,no,no,,not the lowest price,0.1,15.29,0.6408,,,2021-11-01,3.24
Lucy´s World,no,no,Week Long Deal,not the lowest price,0.1,29.69,0.6408,,,2022-12-01,23.09
